2026-02-17 11:43:01,320 | INFO | etl.loader | Input loaded: 40 rows
2026-02-17 11:43:01,320 | INFO | etl.loader | Schema validated
2026-02-17 11:43:01,590 | INFO | etl.loader | Input loaded: 40 rows
2026-02-17 11:43:01,590 | INFO | etl.loader | Schema validated
2026-02-17 11:43:01,590 | INFO | __main__ | All inputs combined: 80 rows
2026-02-17 11:43:01,590 | INFO | etl.splitter | DF_A created: 19 rows
2026-02-17 11:43:01,590 | INFO | etl.splitter | DF_B created: 41 rows
2026-02-17 11:43:01,605 | WARNING | etl.splitter | Deleted rows: 20
2026-02-17 11:43:01,605 | INFO | etl.rules | RG amount_min=0 removed 0 rows
2026-02-17 11:43:01,605 | INFO | etl.rules | RG amount_min=10 removed 0 rows
2026-02-17 11:43:01,898 | INFO | __main__ | ETL completed successfully
